theta1,theta1_pred,theta2,theta2_pred,theta3,theta3_pred,theta4,theta4_pred
1.282,1.275161,0.046,0.04727872,-0.723,-0.723259,-0.142,-0.14459087
1.322,1.307399,0.041,0.04311386,-0.742,-0.737577,-0.124,-0.13068883
1.479,1.4797363,0.015,0.013229255,-0.825,-0.82886356,-0.046,-0.04229515
1.519,1.5150807,0.008,0.0076210536,-0.843,-0.84554005,-0.028,-0.02648165
1.543,1.5401698,0.004,0.0032175817,-0.859,-0.8595322,-0.013,-0.013196493
1.558,1.5548978,0.002,0.00094879046,-0.867,-0.8674151,-0.006,-0.0062006786
1.56,1.5585958,0.002,0.00026429072,-0.868,-0.87027067,-0.005,-0.0050056037
1.565,1.5589164,0.001,-0.0003685467,-0.87,-0.8721743,-0.002,-0.002204312
1.567,1.5622762,0.0,-0.0008204691,-0.872,-0.8742229,-0.001,-0.0008827355
1.569,1.5652246,0.0,-0.0009993576,-0.873,-0.87553966,0.0,-0.00074134767
